Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YDR305C,P49775,HNT2,Bis(5'-adenosyl)-triphosphatase,1880,478,0.25,343,4422,380,1825,NA,41,1402,1632,1.16,1086,3404,NA,2586,NA,NA,2358,960,0.41
YDR307W,Q06644,PMT7,Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7,306,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,306,0,0
YDR308C,P47822,SRB7,Mediator of RNA polymerase II transcription subunit 21,20985,17284,0.82,6406,68254,113142,39075,2147,589,38269,41323,1.08,6518,1811,7034,1602,1526,3711,3700,2300,0.62
YDR310C,P46676,SUM1,Suppressor of mar1-1 protein,2931,347,0.12,4695,5333,1276,1663,1966,570,2584,1780,0.69,6896,4469,2459,2669,2141,1035,3278,1910,0.58
YDR311W,P32776,TFB1,RNA polymerase II transcription factor B subunit 1,549,255,0.46,266,233,169,219,792,89,295,230,0.78,1666,918,194,738,NA,501,804,495,0.62
YDR312W,Q12153,SSF2,Ribosome biogenesis protein SSF2,93,51,0.55,NA,NA,NA,NA,NA,42,42,0,0,NA,NA,NA,144,NA,NA,144,0,0
YDR316W,Q06668,OMS1,"Methyltransferase OMS1, mitochondrial",1240,170,0.14,654,3190,NA,NA,1678,121,1411,1170,0.83,1269,1446,NA,600,963,NA,1070,321,0.3
YDR320C,Q06677,SWA2,Auxilin-like clathrin uncoating factor SWA2,1929,796,0.41,155,2346,1047,1868,1219,164,1133,809,0.71,2304,2909,3418,4581,723,2412,2725,1172,0.43
YDR320C-A,P69851,DAD4,DASH complex subunit DAD4,9039,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9333,NA,8745,9039,294,0.03
YDR321W,P38986,ASP1,L-asparaginase 1,21231,292,0.01,26506,57257,8734,12837,19078,1220,20939,18059,0.86,20396,26993,18429,34087,4764,24468,21523,9020,0.42
YDR322C-A,P81449,TIM11,"ATP synthase subunit e, mitochondrial",23223,84,0,20436,82476,5806,15711,12023,2385,23139,27197,1.18,36382,30043,21451,12955,19439,19573,23307,7701,0.33
YDR322W,Q06678,MRPL35,"54S ribosomal protein L35, mitochondrial",1545,360,0.23,NA,3585,626,398,1063,254,1185,1231,1.04,3113,2921,1312,273,NA,NA,1905,1174,0.62
YDR323C,P32609,PEP7,Vacuolar segregation protein PEP7,597,128,0.21,507,814,NA,266,1312,NA,725,391,0.54,846,565,201,264,NA,NA,469,258,0.55
YDR324C,Q06679,UTP4,U3 small nucleolar RNA-associated protein 4,1959,201,0.1,2438,7645,459,1078,1239,105,2161,2559,1.18,722,2177,523,3611,NA,NA,1758,1246,0.71
YDR325W,Q06680,YCG1,Condensin complex subunit 3,230,16,0.07,NA,213,NA,NA,NA,NA,213,0,0,440,NA,NA,52,NA,NA,246,194,0.79
YDR326C,Q06681,YSP2,GRAM domain-containing protein YSP2,202,81,0.4,NA,233,NA,NA,NA,10,121,111,0.92,NA,392,NA,174,NA,NA,283,109,0.39
YDR328C,P52286,SKP1,Suppressor of kinetochore protein 1,55734,17809,0.32,30398,89507,11755,43288,45092,7514,37926,27102,0.71,90522,62431,82008,49510,68861,87927,73543,14662,0.2
YDR330W,Q06682,UBX5,UBX domain-containing protein 5,1541,403,0.26,1956,1124,911,NA,1588,111,1138,629,0.55,2731,1093,2437,1956,NA,1507,1945,596,0.31
YDR331W,P49018,GPI8,GPI-anchor transamidase,209,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,209,0,0
YDR333C,Q05468,RQC1,Ribosome quality control complex subunit 1,443,224,0.51,445,2424,109,189,750,85,667,819,1.23,135,327,153,258,NA,NA,218,78,0.36
YDR335W,P52918,MSN5,Protein MSN5,102,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,102,0,0
YDR337W,P21771,MRPS28,"37S ribosomal protein S28, mitochondrial",1804,295,0.16,NA,1675,2151,NA,1707,502,1509,611,0.4,2773,2364,3714,1207,NA,441,2100,1156,0.55
YDR339C,Q05498,FCF1,rRNA-processing protein FCF1,2553,547,0.21,NA,3101,NA,NA,NA,NA,3101,0,0,NA,NA,NA,2006,NA,NA,2006,0,0
YDR341C,Q05506,YDR341C,"Arginine--tRNA ligase, cytoplasmic",53852,5205,0.1,62195,164766,31963,37030,54478,3913,59057,50770,0.86,46901,73448,18991,110958,20607,20977,48647,33991,0.7
YDR342C;YDR343C,P39004,HXT7,High-affinity hexose transporter HXT6,20126,6127,0.3,64539,83298,5264,851,3474,89,26253,34179,1.3,14110,27830,9253,29586,2455,760,13999,11294,0.81
YDR345C,P32466,HXT3,Low-affinity glucose transporter HXT3,3274,395,0.12,3078,14250,443,1387,2807,51,3669,4861,1.32,949,5345,NA,5257,1672,1170,2879,1992,0.69
YDR346C,Q05515,SVF1,Survival factor 1,29612,876,0.03,31856,69343,18178,21599,37681,4272,30488,20336,0.67,31038,47566,24086,28973,15607,25145,28736,9720,0.34
YDR347W,P10662,MRP1,"37S ribosomal protein MRP1, mitochondrial",8393,53,0.01,2636,22627,4479,7834,12605,496,8446,7433,0.88,12467,15883,9585,8668,313,3123,8340,5279,0.63
YDR348C,Q05518,PAL1,Protein PAL1,3918,1153,0.29,1592,4090,844,3293,4617,2149,2764,1349,0.49,5577,7510,3231,5783,2025,6299,5071,1866,0.37
YDR349C,Q06325,YPS7,Aspartic proteinase yapsin-7,331,30,0.09,317,445,NA,139,NA,NA,301,126,0.42,462,411,209,NA,NA,NA,361,109,0.3
YDR353W,P29509,TRR1,Thioredoxin reductase 1,400363,60042,0.15,321705,832818,199313,337056,280434,70603,340321,237742,0.7,488724,543065,426232,317081,340998,646332,460405,114143,0.25
YDR354W,P07285,TRP4,Anthranilate phosphoribosyltransferase,1739,268,0.15,NA,4884,NA,1088,NA,48,2007,2078,1.04,1588,3519,114,1744,NA,387,1470,1208,0.82
YDR356W,P32380,SPC110,Spindle pole body component 110,2283,211,0.09,3191,6736,1219,553,2950,318,2495,2191,0.88,3550,3014,1529,2038,1634,666,2072,961,0.46
YDR358W,Q06336,GGA1,ADP-ribosylation factor-binding protein GGA1,3087,796,0.26,4244,5948,1285,901,1329,42,2291,2086,0.91,7893,6027,1614,3348,NA,534,3883,2732,0.7
YDR359C,Q06337,EAF1,Chromatin modification-related protein EAF1,300,93,0.31,NA,623,NA,162,NA,NA,393,231,0.59,80,246,229,275,NA,NA,207,76,0.36
YDR361C,Q06338,BCP1,Protein BCP1,88563,269,0,84307,284119,33752,61403,61788,7625,88832,90618,1.02,49322,76575,135602,38640,187618,42005,88294,55329,0.63
YDR362C,Q06339,TFC6,Transcription factor tau 91 kDa subunit,205,94,0.46,154,728,NA,NA,NA,16,299,308,1.03,109,NA,NA,113,NA,NA,111,2,0.02
YDR363W-A,O94742,SEM1,26S proteasome complex subunit SEM1,78209,7935,0.1,113753,133582,33445,36117,92358,12389,70274,45203,0.64,90632,70481,79905,65680,167845,42319,86144,39410,0.46
YDR365C,Q06344,ESF1,Pre-rRNA-processing protein ESF1,27289,2248,0.08,25623,56315,13399,20009,30658,4245,25041,16347,0.65,38269,28501,18287,30075,32161,29929,29537,5933,0.2
YDR367W,Q06346,KEI1,Inositol phosphorylceramide synthase regulatory subunit KEI1,1208,634,0.52,NA,NA,574,NA,NA,NA,574,0,0,NA,NA,NA,1842,NA,NA,1842,0,0
YDR368W,Q12458,YPR1,Putative reductase 1,36147,423,0.01,51445,75550,21273,34185,28734,3153,35723,22928,0.64,59975,67117,33413,36200,7160,15555,36570,21593,0.59
YDR372C,Q06385,VPS74,Vacuolar protein sorting-associated protein 74,5290,233,0.04,3330,17785,2173,2112,7358,377,5522,5886,1.07,5469,9182,1365,11376,698,2252,5057,4034,0.8
YDR373W,Q06389,FRQ1,Calcium-binding protein NCS-1,1558,587,0.38,NA,NA,845,NA,1097,NA,971,126,0.13,NA,NA,NA,2653,NA,1636,2145,509,0.24
YDR375C,P32839,BCS1,Mitochondrial chaperone BCS1,813,416,0.51,NA,1228,NA,NA,NA,NA,1228,0,0,504,290,NA,NA,NA,NA,397,107,0.27
YDR376W,P48360,ARH1,"Probable NADPH:adrenodoxin oxidoreductase, mitochondrial",1585,34,0.02,508,7086,117,313,NA,72,1619,2738,1.69,1847,920,NA,1887,NA,NA,1551,447,0.29
YDR377W,Q06405,ATP17,"ATP synthase subunit f, mitochondrial",10733,1783,0.17,14071,1091,10935,18215,5118,4272,8950,5977,0.67,13240,5315,2176,45331,6906,2131,12516,15141,1.21
YDR378C,Q06406,LSM6,U6 snRNA-associated Sm-like protein LSm6,138252,38038,0.28,37539,350746,61268,85347,44387,21996,100214,113774,1.14,242884,121788,152585,151077,89629,299781,176291,72299,0.41
YDR379C-A,Q3E785,SDH6,"Succinate dehydrogenase assembly factor 1, mitochondrial",6561,798,0.12,NA,5763,NA,NA,NA,NA,5763,0,0,7649,7069,NA,NA,NA,NA,7359,290,0.04
YDR379W,Q06407,RGA2,Rho-type GTPase-activating protein 2,2736,2237,0.82,NA,4973,NA,NA,NA,NA,4973,0,0,1283,151,NA,NA,65,NA,499,555,1.11
YDR381W,Q12159,YRA1,RNA annealing protein YRA1,170763,2427,0.01,178451,319562,82218,170715,227235,31832,168336,93538,0.56,303522,163285,161171,111698,209599,89863,173190,69856,0.4
YDR382W,P02400,RPP2B,60S acidic ribosomal protein P2-beta,5161825,1325797,0.26,2784950,6945180,3502130,4426760,4287310,1069840,3836028,1783606,0.46,5012310,3648260,12239800,3441000,9705780,4878580,6487622,3305388,0.51
YDR383C,Q12493,NKP1,Central kinetochore subunit NKP1,519,244,0.47,NA,NA,292,284,421,103,275,113,0.41,1639,286,875,113,NA,903,763,538,0.71
YDR384C,Q12359,ATO3,Ammonia transport outward protein 3,597,0,0,NA,NA,NA,597,NA,NA,597,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YOR133W;YDR385W,P32324,EFT1,Elongation factor 2,896418,153870,0.17,1385640,2511860,425550,785769,1086990,105922,1050289,774822,0.74,812287,1167360,591810,738504,736104,409221,742548,230657,0.31
YDR388W,P39743,RVS167,Reduced viability upon starvation protein 167,8160,878,0.11,8279,20442,3353,4745,5935,938,7282,6300,0.87,13482,17191,4257,12275,1843,5185,9039,5570,0.62
YDR389W,P17121,SAC7,GTPase-activating protein SAC7,201,18,0.09,NA,385,51,NA,NA,NA,218,167,0.76,149,NA,NA,217,NA,NA,183,34,0.19
YDR390C,P52488,UBA2,Ubiquitin-activating enzyme E1-like,6141,4976,0.81,2502,3500,440,445,89,17,1165,1339,1.15,675,1637,386,41769,NA,NA,11117,17703,1.59
YDR391C,Q04170,YDR391C,Uncharacterized protein YDR391C,1081,20,0.02,NA,2492,204,486,NA,NA,1061,1018,0.96,1292,1654,931,527,NA,NA,1101,418,0.38
YDR392W,P06844,SPT3,Protein SPT3,529,71,0.13,NA,600,NA,NA,NA,NA,600,0,0,NA,458,NA,NA,NA,NA,458,0,0
YDR394W,P33298,RPT3,26S protease regulatory subunit 6B homolog,12666,1975,0.16,5531,20712,8728,15680,8297,5201,10692,5652,0.53,20665,12124,6543,16556,13543,18416,14641,4607,0.31
YDR395W,Q04175,SXM1,Importin beta SMX1,3070,35,0.01,2864,12584,1864,558,705,55,3105,4340,1.4,1895,4208,592,7229,NA,1247,3034,2426,0.8
YDR397C,Q92317,NCB2,Negative cofactor 2 complex subunit beta,15783,645,0.04,26083,28589,10746,4847,18341,2220,15138,10026,0.66,21107,11167,16454,23604,18416,7822,16428,5463,0.33
YDR398W,Q04177,UTP5,U3 small nucleolar RNA-associated protein 5,2569,496,0.19,3881,10054,572,1457,2294,134,3065,3354,1.09,1487,2938,1790,3233,1977,1011,2073,781,0.38
YDR399W,Q04178,HPT1,Hypoxanthine-guanine phosphoribosyltransferase,20819,3160,0.15,33560,37992,10387,13457,10491,71,17659,13525,0.77,62200,25454,6301,31156,5679,13084,23979,19496,0.81
YDR404C,P34087,RPB7,DNA-directed RNA polymerase II subunit RPB7,1744,984,0.56,1243,NA,276,NA,NA,NA,760,483,0.64,NA,1158,NA,4298,NA,NA,2728,1570,0.58
YDR405W,P32387,MRP20,"54S ribosomal protein L41, mitochondrial",180,0,0,NA,NA,NA,NA,NA,180,180,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDR406W,Q04182,PDR15,ATP-dependent permease PDR15,830,88,0.11,805,3229,121,589,624,142,918,1063,1.16,291,1118,NA,1337,221,NA,742,493,0.66
YDR407C,Q04183,TRS120,Trafficking protein particle complex II-specific subunit 120,280,198,0.71,NA,115,NA,48,NA,NA,81,33,0.41,NA,NA,373,147,NA,915,478,322,0.67
YDR408C,P04161,ADE8,Phosphoribosylglycinamide formyltransferase,3945,921,0.23,3052,11431,NA,NA,NA,116,4866,4794,0.99,3939,4779,NA,4712,1022,671,3025,1806,0.6
YDR412W,Q04031,RRP17,Ribosomal RNA-processing protein 17,7779,232,0.03,5304,20615,2970,2140,15709,1330,8011,7416,0.93,6190,12343,1741,11624,10949,2433,7547,4338,0.57
YEL054C;YDR418W,P0CX53,RPL12A,60S ribosomal protein L12-A,1414286,86745,0.06,855687,2146500,993993,1553500,2055490,360076,1327541,648273,0.49,1386000,1393810,1664360,957941,1444900,2159180,1501032,361170,0.24
YDR419W,Q04049,RAD30,DNA polymerase eta,325,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,325,0,0
YDR422C,P32578,SIP1,SNF1 protein kinase subunit beta-1,164,115,0.7,NA,NA,NA,NA,73,25,49,24,0.49,288,NA,163,289,NA,373,278,75,0.27
YDR424C,Q02647,DYN2,"Dynein light chain 1, cytoplasmic",11483,23,0,5502,26411,8617,7388,18935,1908,11460,8474,0.74,11752,2762,13557,17474,6130,17361,11506,5470,0.48
YDR427W,Q04062,RPN9,26S proteasome regulatory subunit RPN9,9753,1328,0.14,10994,27065,10063,5901,11021,1448,11082,7918,0.71,8439,12957,5629,13943,1285,8297,8425,4278,0.51
YDR428C,Q04066,BNA7,Kynurenine formamidase,1549,398,0.26,1535,2359,NA,NA,NA,NA,1947,412,0.21,NA,NA,NA,1151,NA,NA,1151,0,0
YDR429C,Q04067,TIF35,Eukaryotic translation initiation factor 3 subunit G,70363,21601,0.31,12170,103269,61625,69382,21040,25090,48763,32222,0.66,111133,36537,54805,211860,63339,74109,91964,58215,0.63
YDR430C,P32898,CYM1,Mitochondrial presequence protease,11401,2375,0.21,6386,43221,5377,11892,15262,516,13776,13987,1.02,11846,18170,14297,577,241,NA,9026,7320,0.81
YDR432W,Q01560,NPL3,Nucleolar protein 3,70978,20531,0.29,28534,113815,29554,68075,49814,12889,50447,33302,0.66,84025,67879,89645,46325,75638,185539,91508,44259,0.48
YDR434W,Q04080,GPI17,GPI transamidase component GPI17,691,298,0.43,688,2798,NA,127,341,NA,989,1063,1.08,333,275,NA,571,NA,NA,393,128,0.33
YDR439W,Q04087,LRS4,Monopolin complex subunit LRS4,276,48,0.18,NA,NA,228,NA,NA,NA,228,0,0,NA,NA,NA,NA,NA,325,325,0,0
YDR441C,P36973,APT2,Adenine phosphoribosyltransferase 2,2119,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2119,2119,0,0
YDR443C,P38931,SSN2,Mediator of RNA polymerase II transcription subunit 13,1170,508,0.43,1883,2577,573,NA,NA,NA,1678,831,0.5,179,1670,NA,135,NA,NA,662,714,1.08
YML024W;YDR447C,P02407,RPS17A,40S ribosomal protein S17-A,1289359,220883,0.17,579219,2081840,458271,1454980,1470430,366120,1068477,638081,0.6,1367520,1361640,1639620,1131290,2038620,1522760,1510242,283471,0.19
YDR449C,Q02354,UTP6,U3 small nucleolar RNA-associated protein 6,1219,193,0.16,2596,2726,383,284,137,30,1026,1162,1.13,1180,1342,NA,3081,NA,44,1412,1086,0.77
YML026C;YDR450W,P0CX56,RPS18B,40S ribosomal protein S18-B,982159,33734,0.03,925895,1414670,868516,1037080,1383870,465329,1015893,323476,0.32,1000380,1000690,627622,1267210,809120,985529,948425,196109,0.21
YDR452W,Q04119,PPN1,Endopolyphosphatase,1068,159,0.15,1424,1838,362,848,949,34,909,605,0.67,2425,1420,26,1077,250,2167,1228,892,0.73
YDR453C,Q04120,TSA2,Peroxiredoxin TSA2,4089,109,0.03,8515,7567,2056,813,948,NA,3980,3357,0.84,11248,3433,2824,6178,480,1027,4198,3651,0.87
YDR454C,P15454,GUK1,Guanylate kinase,503305,85776,0.17,431835,1012530,291338,288040,440487,40944,417529,297003,0.71,542661,704495,550250,573237,550924,612916,589081,56654,0.1
YDR457W,Q03280,TOM1,E3 ubiquitin-protein ligase TOM1,376,59,0.16,665,370,286,106,157,NA,317,197,0.62,636,870,343,485,231,44,435,269,0.62
YDR458C,Q03281,HEH2,Inner nuclear membrane protein HEH2,25109,6340,0.25,15959,41228,10517,18355,26535,20,18769,12861,0.69,22003,56377,65616,12762,31428,509,31449,23038,0.73
YDR460W,Q03290,TFB3,RNA polymerase II transcription factor B subunit 3,1412,116,0.08,1029,2715,1033,450,2200,351,1296,874,0.67,1607,1711,2212,1458,910,1271,1528,400,0.26
YDR462W,P36527,MRPL28,"54S ribosomal protein L28, mitochondrial",1092,732,0.67,NA,NA,NA,NA,492,227,360,133,0.37,1063,2532,NA,3262,439,NA,1824,1125,0.62
YDR464W,P38904,SPP41,Protein SPP41,287,3,0.01,523,557,221,113,257,64,289,189,0.65,615,90,169,361,NA,185,284,188,0.66
YDR465C,Q03305,RMT2,Protein arginine N-methyltransferase 2,10924,3963,0.36,2776,21563,4873,2272,3323,NA,6961,7353,1.06,15866,12130,12264,16965,14623,17475,14887,2103,0.14
YDR466W,Q03306,PKH3,Serine/threonine-protein kinase PKH3,323,6,0.02,326,638,127,229,NA,NA,330,191,0.58,498,433,20,NA,NA,NA,317,212,0.67
YDR468C,Q03322,TLG1,T-SNARE affecting a late Golgi compartment protein 1,6790,918,0.14,14720,10871,2886,378,6074,303,5872,5376,0.92,13735,8513,1625,12342,2324,NA,7707,4989,0.65
YDR469W,Q03323,SDC1,COMPASS component SDC1,6838,1884,0.28,NA,8545,2319,3724,9128,1054,4954,3286,0.66,10120,11243,4116,2088,8500,16266,8722,4663,0.53
YDR472W,Q03337,TRS31,Trafficking protein particle complex subunit 31,1309,352,0.27,1031,4604,608,402,NA,NA,1662,1714,1.03,1055,1335,NA,482,NA,NA,957,355,0.37
YDR476C,Q03362,YDR476C,Uncharacterized protein YDR476C,3636,319,0.09,NA,3955,NA,NA,NA,NA,3955,0,0,NA,NA,NA,3318,NA,NA,3318,0,0
YDR477W,P06782,SNF1,Carbon catabolite-derepressing protein kinase,1573,149,0.09,2251,4773,540,738,199,43,1424,1661,1.17,3381,1402,86,3682,NA,62,1723,1557,0.9
YDR480W,Q03373,DIG2,Down-regulator of invasive growth 2,575,253,0.44,NA,769,138,NA,NA,59,322,318,0.99,604,1457,NA,422,NA,NA,828,451,0.55
YDR481C,P11491,PHO8,Repressible alkaline phosphatase,3163,1071,0.34,1547,8332,548,326,1700,98,2092,2854,1.36,10549,3986,1905,4467,1899,2594,4233,2988,0.71
YDR483W,P27809,KRE2,Glycolipid 2-alpha-mannosyltransferase,4907,1382,0.28,17415,11842,2341,1040,4845,254,6289,6275,1,2546,9101,1050,6433,1638,383,3525,3164,0.9
YDR484W,P39904,VPS52,Vacuolar protein sorting-associated protein 52,88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,88,0,0
YDR485C,Q03388,VPS72,Vacuolar protein sorting-associated protein 72,1215,927,0.76,NA,207,12,325,834,61,288,295,1.02,9228,655,1470,304,49,1145,2142,3205,1.5
YDR486C,Q03390,VPS60,Vacuolar protein-sorting-associated protein 60,2007,303,0.15,2575,2865,NA,1279,1384,413,1703,900,0.53,4603,3498,991,717,1148,2902,2310,1452,0.63
YDR487C,Q99258,RIB3,"3,4-dihydroxy-2-butanone 4-phosphate synthase",24907,6159,0.25,10933,37302,25801,19653,17192,1605,18748,11197,0.6,29956,26265,19128,33184,8466,69400,31067,18936,0.61
YDR489W,Q03406,SLD5,DNA replication complex GINS protein SLD5,697,144,0.21,NA,842,NA,NA,NA,NA,842,0,0,667,NA,NA,841,NA,151,553,293,0.53
YDR490C;YOL100W,Q03407,PKH1,Serine/threonine-protein kinase PKH1,1168,61,0.05,2090,2655,445,153,803,NA,1229,972,0.79,1412,2284,373,321,1146,NA,1107,726,0.66
YDR493W,Q03429,MZM1,"Mitochondrial zinc maintenance protein 1, mitochondrial",10119,2419,0.24,14996,21806,5702,NA,7647,NA,12538,6376,0.51,13763,11141,3949,8998,NA,646,7699,4777,0.62
YDR494W,Q03430,RSM28,"37S ribosomal protein RSM28, mitochondrial",956,103,0.11,NA,2058,421,715,216,NA,852,718,0.84,799,1246,256,1833,NA,1161,1059,521,0.49
YDR496C,Q04373,PUF6,Pumilio homology domain family member 6,3642,613,0.17,1265,12721,373,1520,2202,92,3029,4391,1.45,3178,4706,4854,7769,NA,770,4255,2290,0.54
YDR497C,P30605,ITR1,Myo-inositol transporter 1,1161,317,0.27,2495,1536,401,NA,NA,NA,1478,856,0.58,NA,845,NA,NA,NA,NA,845,0,0
YDR498C,P28791,SEC20,Protein transport protein SEC20,687,310,0.45,NA,997,NA,NA,NA,NA,997,0,0,NA,NA,NA,377,NA,NA,377,0,0
YDR500C,P51402,RPL37B,60S ribosomal protein L37-B,64878,15915,0.25,121168,134348,50961,20797,143094,14391,80793,53663,0.66,26373,74902,28112,29255,116572,18561,48962,35359,0.72
YDR502C,P19358,SAM2,S-adenosylmethionine synthase 2,194062,52790,0.27,80380,280631,102695,186602,160583,36743,141272,79552,0.56,215075,231066,102054,339551,129044,464325,246853,123822,0.5
YDR505C,P50896,PSP1,Protein PSP1,332,116,0.35,NA,597,46,NA,NA,6,216,270,1.25,634,804,224,130,NA,NA,448,279,0.62
YDR507C,Q12263,GIN4,Serine/threonine-protein kinase GIN4,1424,82,0.06,711,3254,514,1448,2949,160,1506,1195,0.79,963,2566,683,2488,508,844,1342,850,0.63
YDR508C,P48813,GNP1,High-affinity glutamine permease,1018,284,0.28,1943,2320,567,520,1157,NA,1301,724,0.56,484,951,59,1444,NA,NA,734,517,0.7
YDR510W,Q12306,SMT3,Ubiquitin-like protein SMT3,76874,28120,0.37,34459,43201,42358,56590,104673,11243,48754,28494,0.58,120150,41850,139484,81296,75652,171529,104994,43313,0.41
YDR511W,Q04401,SDH7,"Succinate dehydrogenase assembly factor 3, mitochondrial",2219,20,0.01,3301,2797,334,NA,2526,NA,2240,1135,0.51,896,6840,1269,1242,2028,920,2199,2109,0.96
YDR513W,P17695,GRX2,"Glutaredoxin-2, mitochondrial",125571,63088,0.5,130339,125348,57635,32503,27181,1886,62482,48985,0.78,272907,317373,178543,137900,101397,123834,188659,79750,0.42
YDR515W,Q12034,SLF1,Protein SLF1,1853,390,0.21,594,2274,371,3069,1847,626,1463,1002,0.69,3152,3090,2340,3150,338,1387,2243,1060,0.47
YDR516C,Q04409,EMI2,Putative glucokinase-2,4781,685,0.14,12793,11634,NA,946,1903,54,5466,5552,1.02,5163,10271,540,4143,361,NA,4096,3629,0.89
YDR517W,Q04410,GRH1,GRASP65 homolog protein 1,3071,221,0.07,4374,5673,1750,840,4390,73,2850,2067,0.73,4341,3204,NA,2330,NA,NA,3291,823,0.25
YDR518W,P32474,EUG1,Protein disulfide-isomerase EUG1,7933,52,0.01,9070,18644,5428,7612,5863,667,7881,5469,0.69,10753,13423,1987,9055,440,12251,7985,4991,0.63
YDR519W,P32472,FPR2,Peptidyl-prolyl cis-trans isomerase FPR2,19316,11880,0.62,NA,15279,4041,NA,2988,NA,7436,5563,0.75,30904,18341,22235,36833,17914,60945,31195,14938,0.48
YDR527W,Q04418,RBA50,RNA polymerase II-associated protein RBA50,3067,1213,0.4,6430,12238,1850,246,4741,172,4280,4227,0.99,2029,3875,1010,1940,1503,767,1854,1012,0.55
YDR529C,P00128,QCR7,Cytochrome b-c1 complex subunit 7,75692,28898,0.38,38520,103907,48460,51872,36455,1553,46794,30311,0.65,91071,171606,163995,142751,30895,27219,104590,59268,0.57
YDR530C,P22108,APA2,"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2",1383,223,0.16,1190,4319,484,722,1311,NA,1606,1390,0.87,1072,1855,838,1107,NA,931,1160,361,0.31
YDR531W,Q04430,CAB1,Pantothenate kinase CAB1,381,22,0.06,NA,543,NA,173,NA,NA,358,185,0.52,NA,273,NA,533,NA,NA,403,130,0.32
YDR532C,Q04431,KRE28,Spindle pole body component KRE28,984,0,0,984,NA,NA,NA,NA,NA,984,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDR533C,Q04432,HSP31,Glutathione-independent glyoxalase HSP31,129091,257,0,193253,373961,120201,64599,23719,355,129348,126486,0.98,278646,280142,103783,61030,15767,33640,128835,109855,0.85
YDR539W,Q03034,FDC1,Ferulic acid decarboxylase 1,1052,627,0.6,NA,1680,NA,NA,NA,NA,1680,0,0,553,633,431,NA,NA,83,425,210,0.49
YEL002C,P33767,WBP1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1,10110,1779,0.18,16434,29773,5708,10573,7921,928,11890,9277,0.78,11088,16947,3062,15039,1128,2722,8331,6297,0.76
YEL003W,P40005,GIM4,Prefoldin subunit 2,69504,184,0,89056,159845,36821,40534,78962,12910,69688,47860,0.69,136695,90044,37986,46408,37805,66986,69321,35295,0.51
YEL007W,P40002,MIT1,Transcriptional regulator MIT1,1143,4,0,1944,1500,953,819,1559,108,1147,599,0.52,1823,1779,361,1469,NA,262,1139,687,0.6
YEL011W,P32775,GLC3,"1,4-alpha-glucan-branching enzyme",6500,601,0.09,12133,20513,1383,862,612,NA,7101,7987,1.12,7969,12091,374,3162,NA,NA,5899,4490,0.76
YEL012W,P28263,UBC8,Ubiquitin-conjugating enzyme E2-24 kDa,1114,477,0.43,NA,596,679,NA,NA,NA,638,41,0.07,2319,3072,NA,367,NA,606,1591,1139,0.72
YEL013W,P39968,VAC8,Vacuolar protein 8,5219,1298,0.25,5520,25547,1937,2785,3143,173,6518,8657,1.33,1818,7642,972,8716,456,NA,3921,3520,0.9
YEL015W,P39998,EDC3,Enhancer of mRNA-decapping protein 3,1389,153,0.11,2338,3263,1283,1441,344,583,1542,1002,0.65,915,2313,82,2633,1252,217,1235,965,0.78
YEL017W,P39996,GTT3,Glutathione transferase 3,913,274,0.3,1772,2275,226,NA,473,NA,1186,860,0.73,989,875,164,528,NA,NA,639,323,0.5
YEL018W,P39995,EAF5,Chromatin modification-related protein EAF5,645,3,0,309,NA,NA,204,1412,NA,642,546,0.85,1109,469,212,386,NA,1063,648,367,0.57
YEL019C,P38632,MMS21,E3 SUMO-protein ligase MMS21,352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,352,0,0
YEL020W-A,O74700,TIM9,Mitochondrial import inner membrane translocase subunit TIM9,42476,2197,0.05,69585,81142,20488,7935,53045,9481,40279,29092,0.72,65678,56172,28043,65192,2052,50902,44673,22827,0.51
